,Country,2021-01-08 16:20:00,2021-01-09 16:20:00,2021-01-10 16:20:00,2021-01-11 16:20:00,Happiness_Average
0,Norway,30.0,50.0,65.0,40.0,46.25
1,Burundi,20.0,15.0,15.0,15.0,16.25
